x1,y1,z1,x3,y3,z3
3.30237746238708,7.07195663452148,1.33975040912628,3.28775323024514,7.07108583959261,1.33886444361365
3.30235600471497,7.07192420959473,1.33973371982574,3.28775323024514,7.07108583959261,1.33886444361365
3.30227875709534,7.0719199180603,1.33967459201813,3.30818330900569,7.09130210104702,1.36774858250842
3.30228781700134,7.07189893722534,1.33969628810883,3.32716923010536,7.10025752052351,1.35382622177623
3.30234265327454,7.07187986373901,1.33975827693939,3.32962211995072,7.1004741821044,1.34893594255477
3.30226993560791,7.07184934616089,1.33973264694214,3.34414537560039,7.10644140574222,1.33805463610336
3.30229735374451,7.0718035697937,1.33976495265961,3.33528652355568,7.10325243514413,1.34003608030905
3.30228519439697,7.07178401947022,1.33978700637817,3.3322484927148,7.10192558065272,1.34117552805598
3.30232119560242,7.07175588607788,1.33982717990875,3.31424989864966,7.09523056729006,1.34795211400701
3.3022518157959,7.07175636291504,1.33981597423553,3.30912273134076,7.09348678134442,1.35096554277937
3.30228877067566,7.07170391082764,1.33990669250488,3.30399583874059,7.09176401230143,1.35383681146919
3.30221176147461,7.07166290283203,1.33989429473877,3.3087364877889,7.09352311115404,1.35277623110725
3.30222868919373,7.07166481018066,1.3399213552475,3.30258816229667,7.08457831295472,1.35948195832359
3.30225205421448,7.07166004180908,1.33996951580048,3.29954573256815,7.08014479007454,1.36354221560394
3.30225253105164,7.07164764404297,1.34003627300262,3.29801084122947,7.07788493181979,1.36600485980638
3.30220293998718,7.07161521911621,1.34007823467255,3.29984354951017,7.08091496450974,1.36358967739759
3.30215382575989,7.07158279418945,1.34008777141571,3.30080700303071,7.08252529193265,1.36212354923673
3.30213284492493,7.07155704498291,1.34008932113647,3.31090406925362,7.07667748414654,1.34399267498537
3.30211520195007,7.07156181335449,1.34014356136322,3.30056204498351,7.06965946998333,1.34501493325773
3.30212783813477,7.0715503692627,1.34020328521729,3.29557695957332,7.06616519627199,1.34592607725132
3.30210018157959,7.07152366638184,1.34023702144623,3.2862624052023,7.06379452815986,1.35243973619145
3.30206179618835,7.07149457931519,1.34025990962982,3.28938022723419,7.06772942930287,1.3539893509465
3.30207514762878,7.07148361206055,1.34031391143799,3.29492790764331,7.07208050465482,1.35228999554286
3.30206656455994,7.071457862854,1.34035873413086,3.29722681739977,7.07411805402437,1.35182346309151
3.30202102661133,7.07141494750977,1.34040641784668,3.29929948238941,7.07572425169463,1.35099195472181
3.30199313163757,7.07138347625732,1.34051835536957,3.29810680745843,7.07415861397597,1.35170759197876
3.30199551582336,7.07136869430542,1.34055817127228,3.29742525687988,7.07325916353045,1.35214225152976
3.30202102661133,7.07137107849121,1.34060633182526,3.31098803263509,7.05855156946403,1.35995034709419
3.30204129219055,7.07135581970215,1.34067952632904,3.30762011457122,7.05811235986803,1.35866563077465
3.30201411247253,7.07133483886719,1.3407529592514,3.30559093524087,7.05733873342511,1.3578663572822
3.30196833610535,7.07130336761475,1.34076404571533,3.29669714887096,7.06085104012842,1.35364157468553
3.30197143554687,7.07131385803223,1.34079706668854,3.29049609849508,7.05835466521257,1.34769760474985
3.30198454856873,7.07130002975464,1.34082353115082,3.28651345665442,7.05849704514578,1.34151337590736
3.30197644233704,7.07127571105957,1.34089910984039,3.28380130277733,7.05845613886807,1.33732582495621
3.30191731452942,7.07126617431641,1.34092342853546,3.28389410720145,7.0607194824886,1.33420058981787
3.30187320709229,7.07123517990112,1.34097290039063,3.2880195321335,7.0613421749117,1.3383278504978
3.30189633369446,7.07124280929565,1.34097826480865,3.29042397096863,7.06171757812996,1.34084545549314
3.30194282531738,7.07123327255249,1.34104442596436,3.29187762686622,7.06097016278549,1.35223787819046
3.30192255973816,7.07121753692627,1.34112012386322,3.29272919838669,7.06053819654083,1.35918290536886
3.30188369750977,7.0711841583252,1.34115302562714,3.29322887323175,7.05991207603579,1.36689296500084
3.30188155174255,7.07113361358643,1.34125769138336,3.29267651093081,7.05886130601331,1.36266792713188
3.30186367034912,7.07116413116455,1.34124982357025,3.30532826718253,7.06933418855347,1.35369929060628
3.30194067955017,7.07111167907715,1.34134387969971,3.31409758877175,7.07666208557065,1.34758579462854
3.30193877220154,7.07110929489136,1.34136927127838,3.31864950574207,7.08042951671635,1.34419631485003
3.30187034606934,7.07113456726074,1.34139394760132,3.3146901852798,7.07826234709721,1.34460534271934
3.30189490318298,7.07109785079956,1.3414922952652,3.3119600798742,7.07615883447266,1.34546687159412
3.30185222625732,7.07112455368042,1.34147584438324,3.31034411430927,7.07491215301148,1.34599078054555
3.30188870429993,7.0710654258728,1.34159088134766,3.32013018568432,7.07606277399389,1.34056831759428
3.30186557769775,7.0710620880127,1.3416393995285,3.3242134692846,7.0766337276349,1.33854845199365
